EXP, timestamp,flowid, srcIP, destIP, protocol, swid,flow_packet_count,packets_in_queue,queue_timedelta,hitter, packet_length
1,1638795463,19167603001095422210L ,12.1.1.2,10.1.1.96,1,1 , 0 ,0 ,29 ,0 ,134 
1,1638795463,19167603001078448597L ,10.254.1.213,10.1.1.96,1,2 , 0 ,0 ,597 ,0 ,98 
1,1638795463,19238816672680837472L ,10.1.1.96,10.254.1.213,1,2 , 0 ,0 ,43 ,0 ,98 
1,1638795463,19311717785410797920L ,10.1.1.96,12.1.1.2,1,1 , 0 ,0 ,6602 ,0 ,134 
1,1638795464,19167603001095422210L ,12.1.1.2,10.1.1.96,1,1 , 1 ,0 ,301 ,0 ,134 
1,1638795464,19167603001078448597L ,10.254.1.213,10.1.1.96,1,2 , 1 ,0 ,28 ,0 ,98 
1,1638795464,19238816672680837472L ,10.1.1.96,10.254.1.213,1,2 , 1 ,0 ,238 ,0 ,98 
1,1638795464,19311717785410797920L ,10.1.1.96,12.1.1.2,1,1 , 1 ,0 ,155 ,0 ,134 
1,1638795464,19167603001095422210L ,12.1.1.2,10.1.1.96,1,1 , 2 ,0 ,276 ,0 ,134 
1,1638795464,19167603001078448597L ,10.254.1.213,10.1.1.96,1,2 , 2 ,0 ,34 ,0 ,98 
1,1638795464,19238816672680837472L ,10.1.1.96,10.254.1.213,1,2 , 2 ,0 ,27 ,0 ,98 
1,1638795464,19311717785410797920L ,10.1.1.96,12.1.1.2,1,1 , 2 ,0 ,1677 ,0 ,134 
1,1638795464,19167603001095422210L ,12.1.1.2,10.1.1.96,1,1 , 3 ,0 ,25 ,0 ,134 
1,1638795464,19167603001078448597L ,10.254.1.213,10.1.1.96,1,2 , 3 ,0 ,35 ,0 ,98 
1,1638795464,19238816672680837472L ,10.1.1.96,10.254.1.213,1,2 , 3 ,0 ,190 ,0 ,98 
1,1638795464,19311717785410797920L ,10.1.1.96,12.1.1.2,1,1 , 3 ,0 ,233 ,0 ,134 
1,1638795464,19167603001095422210L ,12.1.1.2,10.1.1.96,1,1 , 4 ,0 ,27 ,0 ,134 
1,1638795464,19167603001078448597L ,10.254.1.213,10.1.1.96,1,2 , 4 ,0 ,406 ,0 ,98 
